Acceleration | 0.057   | 0.049    | 1.0 W     | 9.5 J     | ✅ OK
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 707.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 725.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 743.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 761.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 779.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 797.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 815.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 833.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 851.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 869.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 887.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 905.0 J     | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 923.0 J     | 🚨 FAIL-SAFE
Recovery     | 0.096   | 0.081    | 1.7 W     | 923.2 J     | ✅ OK
Recovery     | 0.075   | 0.064    | 1.4 W     | 923.3 J     | ✅ OK
Recovery     | 0.059   | 0.050    | 1.1 W     | 923.4 J     | ✅ OK
Recovery     | 0.047   | 0.040    | 0.8 W     | 923.5 J     | ✅ OK
Recovery     | 0.040   | 0.034    | 0.7 W     | 923.6 J     | ✅ OK
Recovery     | 0.037   | 0.031    | 0.7 W     | 923.7 J     | ✅ OK
Recovery     | 0.039   | 0.033    | 0.7 W     | 923.7 J     | ✅ OK
Recovery     | 0.045   | 0.039    | 0.8 W     | 923.8 J     | ✅ OK
Recovery     | 0.057   | 0.048    | 1.0 W     | 923.9 J     | ✅ OK
Recovery     | 0.072   | 0.061    | 1.3 W     | 924.0 J     | ✅ OK
Recovery     | 0.091   | 0.078    | 1.6 W     | 924.2 J     | ✅ OK
Recovery     | 0.115   | 0.097    | 2.1 W     | 924.4 J     | ✅ OK
Recovery     | 0.141   | 0.120    | 2.5 W     | 924.7 J     | ✅ OK
Recovery     | 0.171   | 0.145    | 3.1 W     | 925.0 J     | ✅ OK
Recovery     | 0.203   | 0.173    | 3.7 W     | 925.3 J     | ✅ OK
Recovery     | 0.238   | 0.202    | 4.3 W     | 925.8 J     | ✅ OK
Recovery     | 0.274   | 0.233    | 4.9 W     | 926.3 J     | ✅ OK
Recovery     | 0.299   | 0.254    | 5.4 W     | 926.8 J     | ✅ OK
Recovery     | 0.283   | 0.241    | 5.1 W     | 927.3 J     | ✅ OK
Recovery     | 0.268   | 0.228    | 4.8 W     | 927.8 J     | ✅ OK
Recovery     | 0.254   | 0.216    | 4.6 W     | 928.2 J     | ✅ OK
Recovery     | 0.241   | 0.205    | 4.3 W     | 928.7 J     | ✅ OK
Recovery     | 0.230   | 0.196    | 4.1 W     | 929.1 J     | ✅ OK
Recovery     | 0.222   | 0.188    | 4.0 W     | 929.5 J     | ✅ OK
Recovery     | 0.215   | 0.183    | 3.9 W     | 929.9 J     | ✅ OK
Recovery     | 0.211   | 0.179    | 3.8 W     | 930.3 J     | ✅ OK
Recovery     | 0.209   | 0.178    | 3.8 W     | 930.6 J     | ✅ OK
Recovery     | 0.210   | 0.178    | 3.8 W     | 931.0 J     | ✅ OK
Recovery     | 0.213   | 0.181    | 3.8 W     | 931.4 J     | ✅ OK
Recovery     | 0.218   | 0.185    | 3.9 W     | 931.8 J     | ✅ OK
Recovery     | 0.226   | 0.192    | 4.1 W     | 932.2 J     | ✅ OK
Recovery     | 0.236   | 0.201    | 4.3 W     | 932.6 J     | ✅ OK
Recovery     | 0.249   | 0.212    | 4.5 W     | 933.1 J     | ✅ OK
Recovery     | 0.263   | 0.224    | 4.7 W     | 933.5 J     | ✅ OK
Recovery     | 0.280   | 0.238    | 5.0 W     | 934.1 J     | ✅ OK
Recovery     | 0.297   | 0.253    | 5.4 W     | 934.6 J     | ✅ OK
Recovery     | 0.317   | 0.269    | 5.7 W     | 935.2 J     | ✅ OK
Recovery     | 0.337   | 0.286    | 6.1 W     | 935.8 J     | 🛡️ CLIPPED
Recovery     | 0.357   | 0.304    | 6.4 W     | 936.4 J     | 🛡️ CLIPPED
Recovery     | 0.378   | 0.321    | 6.8 W     | 937.1 J     | 🛡️ CLIPPED
Calm Water   | 0.238   | 0.202    | 4.3 W     | 937.5 J     | ✅ OK
Calm Water   | 0.244   | 0.207    | 4.4 W     | 938.0 J     | ✅ OK
Calm Water   | 0.251   | 0.213    | 4.5 W     | 938.4 J     | ✅ OK
Calm Water   | 0.258   | 0.219    | 4.6 W     | 938.9 J     | ✅ OK
Calm Water   | 0.267   | 0.227    | 4.8 W     | 939.3 J     | ✅ OK
Calm Water   | 0.276   | 0.235    | 5.0 W     | 939.8 J     | ✅ OK
Calm Water   | 0.286   | 0.243    | 5.2 W     | 940.4 J     | ✅ OK
Calm Water   | 0.297   | 0.252    | 5.3 W     | 940.9 J     | ✅ OK
Calm Water   | 0.308   | 0.262    | 5.5 W     | 941.4 J     | ✅ OK
Calm Water   | 0.298   | 0.253    | 5.4 W     | 942.0 J     | ✅ OK
Calm Water   | 0.282   | 0.240    | 5.1 W     | 942.5 J     | ✅ OK
Calm Water   | 0.268   | 0.228    | 4.8 W     | 943.0 J     | ✅ OK
Calm Water   | 0.254   | 0.216    | 4.6 W     | 943.4 J     | ✅ OK
Calm Water   | 0.241   | 0.205    | 4.3 W     | 943.9 J     | ✅ OK
Calm Water   | 0.229   | 0.194    | 4.1 W     | 944.3 J     | ✅ OK
Calm Water   | 0.218   | 0.185    | 3.9 W     | 944.7 J     | ✅ OK
Calm Water   | 0.208   | 0.177    | 3.7 W     | 945.0 J     | ✅ OK
Calm Water   | 0.200   | 0.170    | 3.6 W     | 945.4 J     | ✅ OK
Calm Water   | 0.193   | 0.164    | 3.5 W     | 945.7 J     | ✅ OK
Calm Water   | 0.187   | 0.159    | 3.4 W     | 946.1 J     | ✅ OK
Calm Water   | 0.183   | 0.156    | 3.3 W     | 946.4 J     | ✅ OK
Calm Water   | 0.181   | 0.154    | 3.3 W     | 946.7 J     | ✅ OK
Calm Water   | 0.180   | 0.153    | 3.2 W     | 947.1 J     | ✅ OK
Calm Water   | 0.181   | 0.154    | 3.3 W     | 947.4 J     | ✅ OK
Calm Water   | 0.183   | 0.156    | 3.3 W     | 947.7 J     | ✅ OK
Calm Water   | 0.187   | 0.159    | 3.4 W     | 948.1 J     | ✅ OK
Calm Water   | 0.193   | 0.164    | 3.5 W     | 948.4 J     | ✅ OK
Calm Water   | 0.200   | 0.170    | 3.6 W     | 948.8 J     | ✅ OK
Calm Water   | 0.209   | 0.178    | 3.8 W     | 949.1 J     | ✅ OK
Calm Water   | 0.219   | 0.186    | 3.9 W     | 949.5 J     | ✅ OK
Calm Water   | 0.230   | 0.196    | 4.1 W     | 949.9 J     | ✅ OK
Calm Water   | 0.243   | 0.207    | 4.4 W     | 950.4 J     | ✅ OK
Calm Water   | 0.257   | 0.218    | 4.6 W     | 950.8 J     | ✅ OK
Calm Water   | 0.272   | 0.231    | 4.9 W     | 951.3 J     | ✅ OK
Calm Water   | 0.287   | 0.244    | 5.2 W     | 951.9 J     | ✅ OK
Calm Water   | 0.303   | 0.258    | 5.5 W     | 952.4 J     | ✅ OK
Calm Water   | 0.320   | 0.272    | 5.8 W     | 953.0 J     | ✅ OK
Calm Water   | 0.337   | 0.287    | 6.1 W     | 953.6 J     | 🛡️ CLIPPED
Calm Water   | 0.355   | 0.302    | 6.4 W     | 954.2 J     | 🛡️ CLIPPED
Calm Water   | 0.372   | 0.317    | 6.7 W     | 954.9 J     | 🛡️ CLIPPED
Acceleration | 0.548   | 0.466    | 9.9 W     | 955.9 J     | 🛡️ CLIPPED
Acceleration | 0.487   | 0.414    | 8.8 W     | 956.8 J     | 🛡️ CLIPPED
Acceleration | 0.421   | 0.358    | 7.6 W     | 957.5 J     | 🛡️ CLIPPED
Acceleration | 0.352   | 0.299    | 6.3 W     | 958.1 J     | 🛡️ CLIPPED
Acceleration | 0.284   | 0.241    | 5.1 W     | 958.7 J     | ✅ OK
Acceleration | 0.218   | 0.185    | 3.9 W     | 959.1 J     | ✅ OK
Acceleration | 0.158   | 0.134    | 2.8 W     | 959.3 J     | ✅ OK
Acceleration | 0.106   | 0.090    | 1.9 W     | 959.5 J     | ✅ OK
Acceleration | 0.064   | 0.054    | 1.1 W     | 959.6 J     | ✅ OK
Acceleration | 0.033   | 0.028    | 0.6 W     | 959.7 J     | ✅ OK
Acceleration | 0.015   | 0.013    | 0.3 W     | 959.7 J     | ✅ OK
Acceleration | 0.011   | 0.010    | 0.2 W     | 959.7 J     | ✅ OK
Acceleration | 0.021   | 0.018    | 0.4 W     | 959.8 J     | ✅ OK
Acceleration | 0.044   | 0.037    | 0.8 W     | 959.9 J     | ✅ OK
Acceleration | 0.080   | 0.068    | 1.4 W     | 960.0 J     | ✅ OK
Acceleration | 0.126   | 0.107    | 2.3 W     | 960.2 J     | ✅ OK
Acceleration | 0.108   | 0.092    | 1.9 W     | 960.4 J     | ✅ OK
Acceleration | 0.065   | 0.056    | 1.2 W     | 960.5 J     | ✅ OK
Acceleration | 0.034   | 0.029    | 0.6 W     | 960.6 J     | ✅ OK
Acceleration | 0.016   | 0.014    | 0.3 W     | 960.6 J     | ✅ OK
Acceleration | 0.011   | 0.009    | 0.2 W     | 960.7 J     | ✅ OK
Acceleration | 0.020   | 0.017    | 0.4 W     | 960.7 J     | ✅ OK
Acceleration | 0.042   | 0.036    | 0.8 W     | 960.8 J     | ✅ OK
Acceleration | 0.077   | 0.066    | 1.4 W     | 960.9 J     | ✅ OK
Acceleration | 0.123   | 0.105    | 2.2 W     | 961.1 J     | ✅ OK
Acceleration | 0.179   | 0.152    | 3.2 W     | 961.5 J     | ✅ OK
Acceleration | 0.241   | 0.205    | 4.3 W     | 961.9 J     | ✅ OK
Acceleration | 0.308   | 0.262    | 5.5 W     | 962.4 J     | ✅ OK
Acceleration | 0.377   | 0.320    | 6.8 W     | 963.1 J     | 🛡️ CLIPPED
Acceleration | 0.445   | 0.378    | 8.0 W     | 963.9 J     | 🛡️ CLIPPED
Acceleration | 0.510   | 0.433    | 9.2 W     | 964.8 J     | 🛡️ CLIPPED
Acceleration | 0.568   | 0.483    | 10.2 W     | 965.9 J     | 🛡️ CLIPPED
Acceleration | 0.513   | 0.436    | 9.2 W     | 966.8 J     | 🛡️ CLIPPED
Acceleration | 0.449   | 0.382    | 8.1 W     | 967.6 J     | 🛡️ CLIPPED
Acceleration | 0.381   | 0.324    | 6.9 W     | 968.3 J     | 🛡️ CLIPPED
Acceleration | 0.312   | 0.265    | 5.6 W     | 968.8 J     | ✅ OK
Acceleration | 0.245   | 0.208    | 4.4 W     | 969.3 J     | ✅ OK
Acceleration | 0.182   | 0.155    | 3.3 W     | 969.6 J     | ✅ OK
Acceleration | 0.126   | 0.107    | 2.3 W     | 969.8 J     | ✅ OK
Acceleration | 0.080   | 0.068    | 1.4 W     | 970.0 J     | ✅ OK
Storm/Chaos  | 0.109   | 0.092    | 2.0 W     | 970.2 J     | ✅ OK
Storm/Chaos  | 0.627   | 0.533    | 11.3 W     | 971.3 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.938   | 0.797    | 16.9 W     | 973.0 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.900   | 0.765    | 16.2 W     | 974.6 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.523   | 0.445    | 9.4 W     | 975.6 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.032   | -0.027    | 0.6 W     | 975.6 J     | ✅ OK
Storm/Chaos  | -0.513   | -0.436    | 9.2 W     | 976.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.679   | -0.577    | 12.2 W     | 977.8 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.405   | -0.345    | 7.3 W     | 978.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.447   | -0.380    | 8.1 W     | 979.3 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.299   | -0.254    | 5.4 W     | 979.8 J     | ✅ OK
Storm/Chaos  | -0.093   | -0.079    | 1.7 W     | 980.0 J     | ✅ OK
Storm/Chaos  | 0.037   | 0.032    | 0.7 W     | 980.1 J     | ✅ OK
Storm/Chaos  | 0.031   | 0.027    | 0.6 W     | 980.1 J     | ✅ OK
Storm/Chaos  | -0.069   | -0.059    | 1.2 W     | 980.2 J     | ✅ OK
Storm/Chaos  | -0.139   | -0.119    | 2.5 W     | 980.5 J     | ✅ OK
Storm/Chaos  | -0.542   | -0.461    | 9.8 W     | 981.5 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.208   | -1.027    | 21.7 W     | 983.6 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.411   | -1.199    | 25.4 W     | 986.2 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.152   | -0.979    | 20.7 W     | 988.3 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.585   | -0.497    | 10.5 W     | 989.3 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.057   | 0.049    | 1.0 W     | 989.4 J     | ✅ OK
Storm/Chaos  | 0.563   | 0.479    | 10.1 W     | 990.4 J     | 🛡️ CLIPPED
Storm/Chaos  | 0.818   | 0.695    | 14.7 W     | 991.9 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.108   | -0.092    | 2.0 W     | 992.1 J     | ✅ OK
Storm/Chaos  | -1.001   | -0.851    | 18.0 W     | 993.9 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.501   | -1.275    | 27.1 W     | 996.6 J     | 🛡️ CLIPPED
Storm/Chaos  | -1.461   | -1.242    | 26.3 W     | 999.2 J     | 🛡️ CLIPPED
Storm/Chaos  | -0.918   | -0.780    | 16.5 W     | 1.00 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.084   | -0.071    | 1.5 W     | 1.00 kJ   | ✅ OK
Storm/Chaos  | 0.741   | 0.630    | 13.3 W     | 1.00 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 1.033   | 0.878    | 18.6 W     | 1.00 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.648   | 0.550    | 11.7 W     | 1.01 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.114   | 0.097    | 2.0 W     | 1.01 kJ   | ✅ OK
Storm/Chaos  | -0.390   | -0.332    | 7.0 W     | 1.01 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.675   | -0.573    | 12.1 W     | 1.01 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.626   | -0.532    | 11.3 W     | 1.01 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.260   | -0.221    | 4.7 W     | 1.01 kJ   | ✅ OK
Storm/Chaos  | 0.274   | 0.233    | 4.9 W     | 1.01 kJ   | ✅ OK
Storm/Chaos  | 0.751   | 0.639    | 13.5 W     | 1.01 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.966   | 0.821    | 17.4 W     | 1.01 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.818   | 0.695    | 14.7 W     | 1.01 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.365   | 0.310    | 6.6 W     | 1.01 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.197   | -0.167    | 3.5 W     | 1.02 kJ   | ✅ OK
Storm/Chaos  | -0.605   | -0.514    | 10.9 W     | 1.02 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.644   | -0.547    | 11.6 W     | 1.02 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.444   | -0.377    | 8.0 W     | 1.02 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.417   | -0.355    | 7.5 W     | 1.02 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.236   | -0.201    | 4.3 W     | 1.02 kJ   | ✅ OK
Storm/Chaos  | -0.042   | -0.035    | 0.8 W     | 1.02 kJ   | ✅ OK
Storm/Chaos  | 0.050   | 0.042    | 0.9 W     | 1.02 kJ   | ✅ OK
Storm/Chaos  | 0.007   | 0.006    | 0.1 W     | 1.02 kJ   | ✅ OK
Storm/Chaos  | -0.100   | -0.085    | 1.8 W     | 1.02 kJ   | ✅ OK
Storm/Chaos  | -0.132   | -0.113    | 2.4 W     | 1.02 kJ   | ✅ OK
Storm/Chaos  | -0.784   | -0.667    | 14.1 W     | 1.02 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.321   | -1.123    | 23.8 W     | 1.02 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.377   | -1.170    | 24.8 W     | 1.03 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -1.004   | -0.853    | 18.1 W     | 1.03 kJ   | 🛡️ CLIPPED
Storm/Chaos  | -0.389   | -0.330    | 7.0 W     | 1.03 kJ   | 🛡️ CLIPPED
Storm/Chaos  | 0.232   | 0.197    | 4.2 W     | 1.03 kJ   | ✅ OK
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.05 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.07 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.08 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.10 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.12 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.14 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.16 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.17 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.19 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.21 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.23 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.25 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.26 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.28 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.30 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.32 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.34 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.35 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.37 kJ   | 🚨 FAIL-SAFE
SENSOR FAIL  | NaN       | 0.000    | 180.0 W     | 1.39 kJ   | 🚨 FAIL-SAFE
Recovery     | 0.273   | 0.232    | 4.9 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.264   | 0.225    | 4.8 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.257   | 0.218    | 4.6 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.251   | 0.213    | 4.5 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.247   | 0.210    | 4.5 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.246   | 0.209    | 4.4 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.246   | 0.209    | 4.4 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.249   | 0.211    | 4.5 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.253   | 0.215    | 4.6 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.260   | 0.221    | 4.7 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.268   | 0.228    | 4.8 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.278   | 0.236    | 5.0 W     | 1.39 kJ   | ✅ OK
Recovery     | 0.290   | 0.246    | 5.2 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.302   | 0.257    | 5.4 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.316   | 0.269    | 5.7 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.331   | 0.281    | 6.0 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.346   | 0.294    | 6.2 W     | 1.40 kJ   | 🛡️ CLIPPED
Recovery     | 0.362   | 0.308    | 6.5 W     | 1.40 kJ   | 🛡️ CLIPPED
Recovery     | 0.369   | 0.314    | 6.6 W     | 1.40 kJ   | 🛡️ CLIPPED
Recovery     | 0.330   | 0.280    | 5.9 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.292   | 0.248    | 5.2 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.254   | 0.216    | 4.6 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.218   | 0.186    | 3.9 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.184   | 0.157    | 3.3 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.153   | 0.130    | 2.8 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.125   | 0.106    | 2.2 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.100   | 0.085    | 1.8 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.079   | 0.067    | 1.4 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.062   | 0.053    | 1.1 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.049   | 0.042    | 0.9 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.041   | 0.035    | 0.7 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.037   | 0.032    | 0.7 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.038   | 0.032    | 0.7 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.044   | 0.037    | 0.8 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.054   | 0.046    | 1.0 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.069   | 0.058    | 1.2 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.087   | 0.074    | 1.6 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.110   | 0.093    | 2.0 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.136   | 0.115    | 2.4 W     | 1.40 kJ   | ✅ OK
Recovery     | 0.165   | 0.140    | 3.0 W     | 1.40 kJ   | ✅ OK
Calm Water   | 0.364   | 0.309    | 6.6 W     | 1.40 kJ   | 🛡️ CLIPPED
Calm Water   | 0.352   | 0.299    | 6.3 W     | 1.40 kJ   | 🛡️ CLIPPED
Calm Water   | 0.341   | 0.290    | 6.1 W     | 1.41 kJ   | 🛡️ CLIPPED
Calm Water   | 0.330   | 0.280    | 5.9 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.319   | 0.271    | 5.7 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.309   | 0.262    | 5.6 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.299   | 0.254    | 5.4 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.290   | 0.247    | 5.2 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.282   | 0.240    | 5.1 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.275   | 0.234    | 5.0 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.269   | 0.229    | 4.8 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.264   | 0.224    | 4.7 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.260   | 0.221    | 4.7 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.257   | 0.218    | 4.6 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.255   | 0.216    | 4.6 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.254   | 0.216    | 4.6 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.254   | 0.216    | 4.6 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.256   | 0.217    | 4.6 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.258   | 0.219    | 4.6 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.262   | 0.222    | 4.7 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.266   | 0.226    | 4.8 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.271   | 0.231    | 4.9 W     | 1.41 kJ   | ✅ OK
Calm Water   | 0.278   | 0.236    | 5.0 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.285   | 0.242    | 5.1 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.293   | 0.249    | 5.3 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.301   | 0.256    | 5.4 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.310   | 0.263    | 5.6 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.319   | 0.271    | 5.7 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.329   | 0.279    | 5.9 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.314   | 0.267    | 5.7 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.297   | 0.253    | 5.4 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.281   | 0.239    | 5.1 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.265   | 0.225    | 4.8 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.250   | 0.212    | 4.5 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.236   | 0.200    | 4.2 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.223   | 0.189    | 4.0 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.211   | 0.179    | 3.8 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.200   | 0.170    | 3.6 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.191   | 0.162    | 3.4 W     | 1.42 kJ   | ✅ OK
Calm Water   | 0.183   | 0.156    | 3.3 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.014   | 0.012    | 0.3 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.031   | 0.026    | 0.6 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.060   | 0.051    | 1.1 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.102   | 0.087    | 1.8 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.133   | 0.113    | 2.4 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.085   | 0.073    | 1.5 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.048   | 0.041    | 0.9 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.023   | 0.020    | 0.4 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.012   | 0.010    | 0.2 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.014   | 0.012    | 0.3 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.030   | 0.025    | 0.5 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.059   | 0.050    | 1.1 W     | 1.42 kJ   | ✅ OK
Acceleration | 0.099   | 0.084    | 1.8 W     | 1.42 kJ   | ✅ OK
